subject,roi,task,P,T,value,type
01,lh_G_Ins_lg_and_S_cent_ins,stim,pre,real,1.3287334328012927,z_normalized_itpc
01,rh_G_Ins_lg_and_S_cent_ins,stim,pre,real,0.4024075823469492,z_normalized_itpc
01,lh_G_and_S_cingul-Ant,stim,pre,real,-0.11988061891702323,z_normalized_itpc
01,rh_G_and_S_cingul-Ant,stim,pre,real,0.059966757823331614,z_normalized_itpc
01,lh_G_and_S_cingul-Mid-Ant,stim,pre,real,0.7235259775043635,z_normalized_itpc
01,rh_G_and_S_cingul-Mid-Ant,stim,pre,real,0.4144470322393802,z_normalized_itpc
01,lh_G_and_S_cingul-Mid-Post,stim,pre,real,1.397100915673197,z_normalized_itpc
01,rh_G_and_S_cingul-Mid-Post,stim,pre,real,0.5431241785586628,z_normalized_itpc
01,lh_G_and_S_frontomargin,stim,pre,real,-0.47179537554779877,z_normalized_itpc
01,rh_G_and_S_frontomargin,stim,pre,real,0.40567196165074765,z_normalized_itpc
01,lh_G_and_S_occipital_inf,stim,pre,real,0.7117431564249768,z_normalized_itpc
01,rh_G_and_S_occipital_inf,stim,pre,real,0.7686154155698228,z_normalized_itpc
01,lh_G_and_S_paracentral,stim,pre,real,0.36323571198599075,z_normalized_itpc
01,rh_G_and_S_paracentral,stim,pre,real,-1.5399672901795391,z_normalized_itpc
01,lh_G_and_S_subcentral,stim,pre,real,1.091977218156552,z_normalized_itpc
01,rh_G_and_S_subcentral,stim,pre,real,1.2616529086065595,z_normalized_itpc
01,lh_G_and_S_transv_frontopol,stim,pre,real,0.6067980254298894,z_normalized_itpc
01,rh_G_and_S_transv_frontopol,stim,pre,real,0.7070029481314957,z_normalized_itpc
01,lh_G_cingul-Post-dorsal,stim,pre,real,0.6600846913024255,z_normalized_itpc
01,rh_G_cingul-Post-dorsal,stim,pre,real,-0.04643033730819526,z_normalized_itpc
01,lh_G_cingul-Post-ventral,stim,pre,real,1.1031602938800036,z_normalized_itpc
01,rh_G_cingul-Post-ventral,stim,pre,real,1.2398626235139747,z_normalized_itpc
01,lh_G_cuneus,stim,pre,real,-0.705025997149298,z_normalized_itpc
01,rh_G_cuneus,stim,pre,real,-0.17471962054055373,z_normalized_itpc
01,lh_G_front_inf-Opercular,stim,pre,real,0.8971998539676206,z_normalized_itpc
01,rh_G_front_inf-Opercular,stim,pre,real,0.27679472217315837,z_normalized_itpc
01,lh_G_front_inf-Orbital,stim,pre,real,0.6355505503002037,z_normalized_itpc
01,rh_G_front_inf-Orbital,stim,pre,real,0.6994716057326897,z_normalized_itpc
01,lh_G_front_inf-Triangul,stim,pre,real,0.9843251141952577,z_normalized_itpc
01,rh_G_front_inf-Triangul,stim,pre,real,0.8959317122657434,z_normalized_itpc
01,lh_G_front_middle,stim,pre,real,0.6325818006796036,z_normalized_itpc
01,rh_G_front_middle,stim,pre,real,0.48130656373512043,z_normalized_itpc
01,lh_G_front_sup,stim,pre,real,1.178931314967186,z_normalized_itpc
01,rh_G_front_sup,stim,pre,real,0.8524688994655467,z_normalized_itpc
01,lh_G_insular_short,stim,pre,real,0.9974979874248162,z_normalized_itpc
01,rh_G_insular_short,stim,pre,real,-0.16793552677331722,z_normalized_itpc
01,lh_G_oc-temp_lat-fusifor,stim,pre,real,1.139274799532957,z_normalized_itpc
01,rh_G_oc-temp_lat-fusifor,stim,pre,real,0.46155069977325536,z_normalized_itpc
01,lh_G_oc-temp_med-Lingual,stim,pre,real,0.7959595622149372,z_normalized_itpc
01,rh_G_oc-temp_med-Lingual,stim,pre,real,0.9109218225909501,z_normalized_itpc
01,lh_G_oc-temp_med-Parahip,stim,pre,real,0.3966267441978368,z_normalized_itpc
01,rh_G_oc-temp_med-Parahip,stim,pre,real,0.5401207616695916,z_normalized_itpc
01,lh_G_occipital_middle,stim,pre,real,1.0051080544127753,z_normalized_itpc
01,rh_G_occipital_middle,stim,pre,real,0.8034666573875688,z_normalized_itpc
01,lh_G_occipital_sup,stim,pre,real,-0.255518673901684,z_normalized_itpc
01,rh_G_occipital_sup,stim,pre,real,0.5560400440771911,z_normalized_itpc
01,lh_G_orbital,stim,pre,real,1.273973673319791,z_normalized_itpc
01,rh_G_orbital,stim,pre,real,1.0681248468623612,z_normalized_itpc
01,lh_G_pariet_inf-Angular,stim,pre,real,1.439938705707406,z_normalized_itpc
01,rh_G_pariet_inf-Angular,stim,pre,real,0.3846958491458924,z_normalized_itpc
01,lh_G_pariet_inf-Supramar,stim,pre,real,1.4476710660460321,z_normalized_itpc
